team,label,student,sprint,global_id
t19,good teammate,t19_s04,Sprint 1,g120
t19,good teammate,t19_s06,Sprint 1,g123
t19,good teammate,t19_s05,Sprint 1,g121
t19,hitchhiker,t19_s03,Sprint 1,g118
t19,good teammember,t19_s04,Sprint 1,g120
t19,good teammate,t19_s01,Sprint 1,g093
t19,good teammate,t19_s06,Sprint 1,g123
t19,good teammate,t19_s05,Sprint 1,g121
t19,couch potato,t19_s03,Sprint 1,g118
t19,good teammember,t19_s06,Sprint 1,g123
t19,good teammate,t19_s05,Sprint 1,g121
t19,good teammate,t19_s01,Sprint 1,g093
t19,good teammate,t19_s04,Sprint 1,g120
t19,couch potato,t19_s03,Sprint 1,g118
t20,good teammate,t20_s06,Sprint 1,g047
t20,good teammate,t20_s04,Sprint 1,g020
t20,good teammate,t20_s03,Sprint 1,g019
t20,good teammate,t20_s05,Sprint 1,g039
t20,good teammate,t20_s02,Sprint 1,g018
t20,couch potato,t20_s01,Sprint 1,g017
t20,good teammember,t20_s04,Sprint 1,g020
t20,good teammate,t20_s06,Sprint 1,g047
t20,good teammate,t20_s02,Sprint 1,g018
t20,good teammate,t20_s01,Sprint 1,g017
t20,good teammate,t20_s03,Sprint 1,g019
t20,good teammate,t20_s05,Sprint 1,g039
t20,good teammember,t20_s03,Sprint 1,g019
t20,good teammate,t20_s04,Sprint 1,g020
t20,good teammate,t20_s05,Sprint 1,g039
t20,good teammate,t20_s02,Sprint 1,g018
t20,good teammate,t20_s06,Sprint 1,g047
t20,good teammate,t20_s01,Sprint 1,g017
t20,good teammember,t20_s05,Sprint 1,g039
t20,good teammate,t20_s04,Sprint 1,g020
t20,good teammate,t20_s02,Sprint 1,g018
t20,good teammate,t20_s01,Sprint 1,g017
t20,good teammate,t20_s06,Sprint 1,g047
t20,good teammate,t20_s03,Sprint 1,g019
t20,good teammember,t20_s01,Sprint 1,g017
t20,good teammate,t20_s03,Sprint 1,g019
t20,good teammate,t20_s02,Sprint 1,g018
t20,good teammate,t20_s04,Sprint 1,g020
t20,good teammate,t20_s06,Sprint 1,g047
t20,good teammate,t20_s05,Sprint 1,g039
t20,good teammember,t20_s02,Sprint 1,g018
t20,good teammate,t20_s04,Sprint 1,g020
t20,good teammate,t20_s05,Sprint 1,g039
t20,good teammate,t20_s01,Sprint 1,g017
t20,good teammate,t20_s03,Sprint 1,g019
t20,good teammate,t20_s06,Sprint 1,g047
t21,good teammember,t21_s01,Sprint 1,g074
t21,good teammate,t21_s02,Sprint 1,g083
t21,good teammate,t21_s03,Sprint 1,g085
t21,good teammate,t21_s05,Sprint 1,g089
t21,good teammate,t21_s04,Sprint 1,g086
t21,good teammember,t21_s04,Sprint 1,g086
t21,good teammate,t21_s03,Sprint 1,g085
t21,good teammate,t21_s05,Sprint 1,g089
t21,good teammate,t21_s02,Sprint 1,g083
t21,good teammate,t21_s01,Sprint 1,g074
t21,good teammember,t21_s04,Sprint 1,g086
t21,good teammate,t21_s02,Sprint 1,g083
t21,good teammate,t21_s05,Sprint 1,g089
t21,good teammate,t21_s03,Sprint 1,g085
t21,good teammate,t21_s01,Sprint 1,g074
t21,good teammember,t21_s05,Sprint 1,g089
t21,good teammate,t21_s03,Sprint 1,g085
t21,good teammate,t21_s02,Sprint 1,g083
t21,good teammate,t21_s01,Sprint 1,g074
t21,good teammate,t21_s04,Sprint 1,g086
t21,good teammember,t21_s03,Sprint 1,g085
t21,good teammate,t21_s05,Sprint 1,g089
t21,good teammate,t21_s02,Sprint 1,g083
t21,good teammate,t21_s01,Sprint 1,g074
t21,good teammate,t21_s04,Sprint 1,g086
t21,good teammember,t21_s02,Sprint 1,g083
t21,good teammate,t21_s04,Sprint 1,g086
t21,good teammate,t21_s05,Sprint 1,g089
t21,good teammate,t21_s03,Sprint 1,g085
t21,good teammate,t21_s01,Sprint 1,g074
t22,good teammember,t22_s04,Sprint 1,g122
